Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_family,Species_genus,Species_species,Species_no rank,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_subfamily,Host_no rank,Host_superkingdom,Host_kingdom,Host_phylum,Host_subphylum,Host_clade,Host_class,Host_order,Host_family,Host_subfamily,Host_tribe,Host_subtribe,Host_genus,Host_species,Host_subgenus,Host_section,Host_varietas,Host_superclass,Host_superorder,Host_suborder,Host_infraorder,Host_parvorder,Host_superfamily,Host_infraclass,Host_subclass,Host_subspecies,Host_strain,Host_cohort,Host_species group,Host_serogroup,Host_subsection,Host_subkingdom,Host_forma,Host_subcohort
Anas platyrhynchos,Gemygorvirus malas1,GCF_001646535.1,NA,"Steel,O., Kraberger,S., Sikorski,A., Young,L.M., Catchpole,R.J., Stevens,A.J., Ladley,J.J., Coray,D.S., Stainton,D., Dayaram,A., Julian,L., van Bysterveldt,K., Varsani,A.",2016-05-18T01:01:57Z,4_Fec7_duck,Gemygorvirus,Genomoviridae,ssDNA,RefSeq,NA,NA,1,New Zealand,New Zealand,NA,feces,2012,NA,ViralProj321696,Viruses,Genomoviridae,Gemygorvirus,Gemygorvirus malas1,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anatinae,,,Anas,Anas platyrhynchos,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Anas platyrhynchos,Duck associated cyclovirus 1,GCF_002194385.1,NA,"Feher,E., Kaszab,E., Lengyel,G., Banyai,K.",2017-06-15T01:01:13Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Hungary,Hungary,NA,feces,2013,NA,ViralProj390418,Viruses,Circoviridae,Cyclovirus,Duck associated cyclovirus 1,,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anatinae,,,Anas,Anas platyrhynchos,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Anas platyrhynchos,Gemycircularvirus malas1,GCF_000927855.1,NA,"Sikorski,A., Massaro,M., Kraberger,S., Young,L.M., Smalley,D., Martin,D.P., Varsani,A., Young,L., Roumagnac,P.",2015-02-22T19:08:57Z,as24,Gemycircularvirus,Genomoviridae,ssDNA,RefSeq,NA,NA,1,New Zealand,New Zealand,NA,feces,2012,NA,ViralProj268553,Viruses,Genomoviridae,Gemycircularvirus,Gemycircularvirus malas1,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anatinae,,,Anas,Anas platyrhynchos,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Anas platyrhynchos,Duck circovirus,GCF_000864045.1,NA,"Banda,A., Galloway-Haskins,R.I., Sandhu,T.S., Schat,K.A.",2015-02-13T08:24:28Z,33753-52,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,NA,NA,ViralProj15558,Viruses,Circoviridae,Circovirus,Duck circovirus,,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anatinae,,,Anas,Anas platyrhynchos,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Andrographis paniculata,Andrographis yellow vein leaf curl virus,GCF_001441075.1,NA,"Khan,A., Saeed,S.T., Samad,A.",2015-11-07T01:00:43Z,A-64,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,India: Barabanki,India,NA,plant leaf,2012,NA,ViralProj301301,Viruses,Geminiviridae,Begomovirus,Andrographis yellow vein leaf curl virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthoideae,Andrographideae,,Andrographis,Andrographis paniculata,,,,,,,,,,,,,,,,,,,,
Andrographis paniculata,Andrographis yellow vein leaf curl betasatellite,GCF_000920515.2,NA,"Khan,A., Samad,A.",2015-05-17T01:01:29Z,NA,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India: Lucknow,India,NA,plant leaf,2010-10,NA,ViralProj243492,Viruses,Tolecusatellitidae,Betasatellite,Andrographis yellow vein leaf curl betasatellite,,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthoideae,Andrographideae,,Andrographis,Andrographis paniculata,,,,,,,,,,,,,,,,,,,,
Anguilla anguilla,Anguilla anguilla circovirus,GCF_000915975.1,NA,"Doszpoly,A., Tarjan,Z.L., Glavits,R., Muller,T., Benko,M.",2015-02-22T18:51:24Z,Ba1,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Hungary,Hungary,NA,NA,2009-09-21,NA,ViralProj237138,Viruses,Circoviridae,Circovirus,Anguilla anguilla circovirus,unclassified Circovirus,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Actinopterygii,Anguilliformes,Anguillidae,,,,Anguilla,Anguilla anguilla,,,,Actinopterygii,,,,,,Teleostei,Neopterygii,,,,,,,,,
Anopheles gambiae,Dipteran brevihamaparvovirus 1,GCF_000880635.1,NA,"Ren,X., Hoiczyk,E., Rasgon,J.L.",2015-02-22T18:02:24Z,NA,Brevihamaparvovirus,Parvoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj32101,Viruses,Parvoviridae,Brevihamaparvovirus,Dipteran brevihamaparvovirus 1,,Monodnaviria,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Hamaparvovirinae,cellular organisms,Eukaryota,Eukaryota,Arthropoda,Hexapoda,Opisthokonta,Insecta,Diptera,Culicoidea,Anophelinae,,,Anopheles,Anopheles gambiae,Cellia,,,,,Nematocera,Culicomorpha,,Culicoidea,Neoptera,Pterygota,,,Endopterygota,,,,,,
Anser anser,Anseriform dependoparvovirus 1,GCF_000839685.1,NA,"Zadori,Z., Stefancsik,R., Rauch,T., Kisary,J.",2015-02-12T16:33:28Z,NA,Dependoparvovirus,Parvoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj14098,Viruses,Parvoviridae,Dependoparvovirus,Anseriform dependoparvovirus 1,,Monodnaviria,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvovirinae,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anserinae,,,Anser,Anser anser,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Anser sp.,Goose circovirus,GCF_000837325.1,NA,"Todd,D., Weston,J.H., Soike,D., Smyth,J.A.",2015-02-12T16:30:12Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Germany,Germany,NA,NA,NA,NA,ViralProj14125,Viruses,Circoviridae,Circovirus,Goose circovirus,,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Galloanserae,Anatidae,Anserinae,,,Anser,Anser sp.,,,,Sarcopterygii,Galloanserae,,,,,Neognathae,,,,,,,,,,
Aotus trivirgatus,Torque teno douroucouli virus,GCF_000889835.1,NA,"Okamoto,H., Nishizawa,T., Tawara,A., Peng,Y., Takahashi,M., Kishimoto,J., Tanaka,T., Miyakawa,Y., Mayumi,M.",2015-02-22T18:12:56Z,At-TTV3,Zetatorquevirus,Anelloviridae,ssDNA(-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj48173,Viruses,Anelloviridae,Zetatorquevirus,Torque teno douroucouli virus,,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Euarchontoglires,Aotidae,,,,Aotus,Aotus trivirgatus,,,,Sarcopterygii,Euarchontoglires,Haplorrhini,Simiiformes,Platyrrhini,,,,,,,,,,,,
Apodemus chevrieri,Rodent associated circovirus 2,GCF_004788015.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:27Z,RtAc-CV-2/GZ2015,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2015-12,NA,ASM478801v1,Viruses,Circoviridae,Circovirus,Rodent associated circovirus 2,,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Euarchontoglires,Muridae,Murinae,,,Apodemus,Apodemus chevrieri,,,,Sarcopterygii,Euarchontoglires,Myomorpha,,,,,,,,,,,,,,
Apodemus draco,Rodent associated circovirus 6,GCF_004787975.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:09Z,RtAd-CV/SAX2015,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2015-06,NA,ASM478797v1,Viruses,Circoviridae,Circovirus,Rodent associated circovirus 6,,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Euarchontoglires,Muridae,Murinae,,,Apodemus,Apodemus draco,,,,Sarcopterygii,Euarchontoglires,Myomorpha,,,,,,,,,,,,,,
Apteryx rowi,Apteryx rowi circovirus-like virus,GCF_004129215.1,NA,"White,D.J., Hall,R.J., Wang,J., Park,D., Moore,N., McInnes,K., Gartrell,B., Tompkins,D.",2019-02-12T15:25:00Z,JWNM 090913,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,New Zealand,New Zealand,NA,feces,2013-09-01,NA,ASM412921v1,Viruses,Circoviridae,,Apteryx rowi circovirus-like virus,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Palaeognathae,Apterygidae,,,,Apteryx,Apteryx rowi,,,,Sarcopterygii,Palaeognathae,,,,,,,,,,,,,,,
Arctocephalus forsteri,Fur seal faeces associated circular DNA virus,GCF_000919715.1,NA,"Sikorski,A., Dayaram,A., Varsani,A.",2015-02-22T18:56:43Z,as50,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,feces,2012-10,NA,ViralProj243502,Viruses,Circoviridae,,Fur seal faeces associated circular DNA virus,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Laurasiatheria,Otariidae,,,,Arctocephalus,Arctocephalus forsteri,,,,Sarcopterygii,Laurasiatheria,Caniformia,,,,,,,,,,,,,,
Arctocephalus forsteri,Gemycircularvirus furse1,GCF_000930435.1,NA,"Sikorski,A., Massaro,M., Kraberger,S., Young,L.M., Smalley,D., Martin,D.P., Varsani,A., Young,L., Roumagnac,P.",2015-02-22T19:11:26Z,as50,Gemycircularvirus,Genomoviridae,ssDNA,RefSeq,NA,NA,1,New Zealand,New Zealand,NA,feces,2012,NA,ViralProj268556,Viruses,Genomoviridae,Gemycircularvirus,Gemycircularvirus furse1,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Laurasiatheria,Otariidae,,,,Arctocephalus,Arctocephalus forsteri,,,,Sarcopterygii,Laurasiatheria,Caniformia,,,,,,,,,,,,,,
Artemisina melana,Artemia melana sponge associated circular genome,GCF_001274325.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:06:26Z,I0307,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293719,Viruses,Circoviridae,,Artemia melana sponge associated circular genome,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Porifera,,Opisthokonta,Demospongiae,Poecilosclerida,Microcionidae,,,,Artemisina,Artemisina melana,,,,,,,,,,,Heteroscleromorpha,,,,,,,,,
Artibeus jamaicensis,Artibeus jamaicensis parvovirus 1,GCF_000894295.1,NA,"Canuti,M., Eis-Huebinger,A.M., Deijs,M., de Vries,M., Drexler,J.F., Oppong,S.K., Muller,M.A., Klose,S.M., Wellinghausen,N., Cottontail,V.M., Kalko,E.K., Drosten,C., van der Hoek,L., Kalko,E.K.V.",2015-02-22T18:18:21Z,NA,NA,Parvoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Panama,Panama,NA,NA,NA,NA,ViralProj81739,Viruses,Parvoviridae,,Artibeus jamaicensis parvovirus 1,unclassified Parvovirinae,Monodnaviria,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvovirinae,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Laurasiatheria,Phyllostomidae,Stenodermatinae,,,Artibeus,Artibeus jamaicensis,,,,Sarcopterygii,Laurasiatheria,Microchiroptera,,,,,,,,,,,,,,
Aselliscus stoliczkanus,Bat bocavirus,GCF_001564365.1,NA,"Li,X., He,B., Xia,L., Xu,L., Tu,C.",2016-02-20T01:00:08Z,YNJH,Bocaparvovirus,Parvoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China,China,NA,NA,2011,NA,ViralProj312360,Viruses,Parvoviridae,Bocaparvovirus,Bat bocavirus,unclassified Bocaparvovirus,Monodnaviria,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvovirinae,cellular organisms,Eukaryota,Eukaryota,Chordata,Craniata,Opisthokonta,Sarcopterygii,Laurasiatheria,Hipposideridae,,,,Aselliscus,Aselliscus stoliczkanus,,,,Sarcopterygii,Laurasiatheria,Microchiroptera,,,,,,,,,,,,,,
Asteroidea,Asteroid aquambidensovirus 1,GCF_002827165.1,NA,"Hewson,I.",2018-08-25T01:08:58Z,NA,Aquambidensovirus,Parvoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,USA,USA,NA,NA,2013-10-13,NA,ASM282716v1,Viruses,Parvoviridae,Aquambidensovirus,Asteroid aquambidensovirus 1,,Monodnaviria,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Densovirinae,cellular organisms,Eukaryota,Eukaryota,Echinodermata,,Opisthokonta,Asterozoa,,,,,,,,,,,Asterozoa,,,,,,,,,,,,,,,,
Astragalus sinicus,Milk vetch dwarf alphasatellite 3,GCF_000916635.1,NA,"Sano,Y., Wada,M., Hashimoto,Y., Matsumoto,T., Kojima,M.",2015-02-22T18:52:14Z,NA,Milvetsatellite,Alphasatellitidae,ssDNA,RefSeq,NA,NA,1,NA,NA,NA,phloem,NA,NA,ViralProj240682,Viruses,Alphasatellitidae,Milvetsatellite,Milk vetch dwarf alphasatellite 3,,,Viruses,,,,Nanoalphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Fabales,Fabaceae,Papilionoideae,Galegeae,,Astragalus,Astragalus sinicus,,,,,,,,,,,,,,,,,,,,
Asystasia gangetica,Asystasia mosaic Madagascar virus,GCF_000943705.1,NA,"De Bruyn,A., Harimalala,M., Ranomenjanahary,S., Reynaud,B., Lefeuvre,P., Lett,J.-M.",2015-03-04T11:05:06Z,MG493,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Madagascar,Madagascar,NA,NA,2011-07-04,NA,ViralMultiSegProj276253,Viruses,Geminiviridae,Begomovirus,Asystasia mosaic Madagascar virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthoideae,Justicieae,,Asystasia,Asystasia gangetica,,,,,,,,,,,,,,,,,,,,
Asystasia gangetica,West African Asystasia virus 2,GCF_002824745.1,NA,"Wyant,P., Strohmeier,S., Fischer,A., Schafer,B., Briddon,R.W., Krenz,B., Jeske,H., Wyant,P.S., Allinger,A.",2018-08-25T01:06:17Z,NA,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ASM282474v1,Viruses,Geminiviridae,Begomovirus,West African Asystasia virus 2,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthoideae,Justicieae,,Asystasia,Asystasia gangetica,,,,,,,,,,,,,,,,,,,,
Asystasia gangetica,West African Asystasia virus 1,GCF_000896655.1,NA,"Wyant,P., Strohmeier,S., Fischer,A., Schafer,B., Briddon,R.W., Krenz,B., Jeske,H., Wyant,P.S., Allinger,A.",2015-02-22T18:22:11Z,NA,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralMultiSegProj81011,Viruses,Geminiviridae,Begomovirus,West African Asystasia virus 1,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthoideae,Justicieae,,Asystasia,Asystasia gangetica,,,,,,,,,,,,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 2,GCF_000955535.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:34Z,AHEaCV-2-NZ-3024C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277500,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 2,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 7,GCF_000954555.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:46Z,AHEaCV-7-NZ-3107C3-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277521,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 7,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 12,GCF_000955575.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:32Z,AHEaCV-12-NZ-3316C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277511,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 12,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 4,GCF_000955295.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:02Z,AHEaCV-4-NZ-3049C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277524,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 4,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 17,GCF_000954835.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:25Z,AHEaCV-17-NZ-2032CO-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277506,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 17,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 3,GCF_000954575.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:58:46Z,AHEaCV-3-NZ-3030C2-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277525,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 3,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 1,GCF_000954875.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T12:59:36Z,AHEaCV-1-NZ-2981C1-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277514,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 1,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Austrovenus stutchburyi,Avon-Heathcote Estuary associated circular virus 5,GCF_000955635.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:01:46Z,AHEaCV-5-NZ-3091C2-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277523,Viruses,Circoviridae,,Avon-Heathcote Estuary associated circular virus 5,unclassified Circoviridae,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,,cellular organisms,Eukaryota,Eukaryota,Mollusca,,Opisthokonta,Bivalvia,Imparidentia,Veneroidea,,,,Austrovenus,Austrovenus stutchburyi,,,,,Imparidentia,,,,Veneroidea,Euheterodonta,Autobranchia,,,,,,,,,
Avena sativa,Oat dwarf virus,GCF_000875245.1,NA,"Schubert,J., Habekuss,A., Kazmaier,K., Jeske,H.",2015-02-13T08:40:12Z,SxA25,Mastrevirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,Germany:Saxony-Anhalt,Germany,NA,NA,2006,NA,ViralProj30037,Viruses,Geminiviridae,Mastrevirus,Oat dwarf virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Poales,Poaceae,Pooideae,Poeae,Aveninae,Avena,Avena sativa,,,,,,,,,,,Petrosaviidae,,,,,,,,,
Axonopus compressus,Axonopus compressus streak virus,GCF_000920415.1,NA,"Oluwafemi,S., Kraberger,S., Shepherd,D.N., Martin,D.P., Varsani,A.",2015-02-22T18:57:54Z,ACSV_NG_g84_oba_2007,Mastrevirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,Nigeria,Nigeria,NA,NA,2007,NA,ViralProj242972,Viruses,Geminiviridae,Mastrevirus,Axonopus compressus streak virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Poales,Poaceae,Panicoideae,Paspaleae,Paspalinae,Axonopus,Axonopus compressus,,,,,,,,,,,Petrosaviidae,,,,,,,,,
